,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Beaufort County, North Carolina: Summary level: 050, state:37> county:013",19383,1472,20855,7.1,28211,21578,5633,8468.0,22529,24639,11013,45212,46.2
"Columbus County, North Carolina: Summary level: 050, state:37> county:047",19767,1389,21156,6.6,27505,26080,6687,10463.0,27857,28211,10936,37628,41.9
"Lincoln County, North Carolina: Summary level: 050, state:37> county:109",39889,2311,42200,5.5,57820,28688,7234,11685.0,41244,41675,14101,57536,43.3
"Montgomery County, North Carolina: Summary level: 050, state:37> county:123",10797,447,11244,4.0,14314,11643,3458,3891.0,13345,13907,5376,44146,43.6
"Orange County, North Carolina: Summary level: 050, state:37> county:135",74179,2708,76887,3.5,117106,32697,10089,12805.0,69204,75632,19403,71723,34.8
"Richmond County, North Carolina: Summary level: 050, state:37> county:153",17762,1693,19455,8.7,23788,20715,5093,8289.0,22048,22949,7847,36148,40.5
"Sampson County, North Carolina: Summary level: 050, state:37> county:163",27250,2022,29272,6.9,33779,27172,9862,11052.0,31127,32258,11045,42151,40.3
"Surry County, North Carolina: Summary level: 050, state:37> county:171",31291,1310,32601,4.0,44409,29316,8682,14351.0,34908,37063,14476,43597,44.1
"Avery County, North Carolina: Summary level: 050, state:37> county:011",6545,312,6857,4.6,9046,6234,2362,3036.0,9616,7890,3803,40340,45.2
"Buncombe County, North Carolina: Summary level: 050, state:37> county:021",127147,4265,131412,3.2,171937,86486,26983,33752.0,123240,133646,49925,52207,42.2
"Cabarrus County, North Carolina: Summary level: 050, state:37> county:025",103251,5450,108701,5.0,152593,58478,15747,21507.0,100729,105886,26889,67328,37.9
"Caswell County, North Carolina: Summary level: 050, state:37> county:033",9519,545,10064,5.4,14249,9439,1602,4333.0,11395,11289,4695,45733,45.7
"Davie County, North Carolina: Summary level: 050, state:37> county:059",19509,789,20298,3.9,29063,15445,4037,6909.0,20485,21772,8555,60434,45.2
"Davidson County, North Carolina: Summary level: 050, state:37> county:057",75087,4692,79779,5.9,104176,60469,18572,25550.0,80791,84590,29483,49546,42.5
"Duplin County, North Carolina: Summary level: 050, state:37> county:061",24773,2143,26916,8.0,30358,26223,9991,11181.0,28715,30252,10580,41764,40.5
"Durham County, North Carolina: Summary level: 050, state:37> county:063",162945,7786,170731,4.6,212900,88590,36648,29623.0,149039,162809,39266,60958,35.4
"Hertford County, North Carolina: Summary level: 050, state:37> county:091",9541,971,10512,9.2,12639,10465,2565,4726.0,11901,12111,4653,41028,42.2
"Lee County, North Carolina: Summary level: 050, state:37> county:105",26643,2007,28650,7.0,35710,23230,8230,9621.0,29309,31172,9745,49994,38.6
"New Hanover County, North Carolina: Summary level: 050, state:37> county:129",111708,5893,117601,5.0,162638,72162,22206,28082.0,108794,119144,39260,54891,39.1
"Pender County, North Carolina: Summary level: 050, state:37> county:141",26243,2200,28443,7.7,39705,22631,6024,9689.0,29972,30427,10712,57240,42.7
"Wayne County, North Carolina: Summary level: 050, state:37> county:191",52287,3680,55967,6.6,70291,51046,15036,19380.0,60358,63245,19768,44416,37.8
"Scotland County, North Carolina: Summary level: 050, state:37> county:165",12113,1628,13741,11.8,17335,16359,3815,5950.0,17293,17783,6109,37238,39.3
"Watauga County, North Carolina: Summary level: 050, state:37> county:189",25748,2072,27820,7.4,41580,14876,4962,5995.0,27313,27612,8507,47526,31.9
"Halifax County, North Carolina: Summary level: 050, state:37> county:083",19287,1595,20882,7.6,26650,23631,6180,9217.0,24757,26433,10301,35502,43.4
"Alamance County, North Carolina: Summary level: 050, state:37> county:001",77665,4344,82009,5.3,106829,57892,18177,21885.0,77542,85782,27165,49688,39.1
"Tyrrell County, North Carolina: Summary level: 050, state:37> county:177",1536,84,1620,5.2,1784,1673,448,737.0,2356,1739,819,35300,46.2
"Stark County, North Dakota: Summary level: 050, state:38> county:089",16014,418,16432,2.5,25247,6451,2761,3068.0,15927,15154,4039,72045,34.2
"Wells County, North Dakota: Summary level: 050, state:38> county:103",1886,50,1936,2.6,3318,1221,136,642.0,1980,1996,1057,57582,51.6
"Burke County, North Dakota: Summary level: 050, state:38> county:013",1053,26,1079,2.4,1902,449,117,189.0,1187,995,369,77232,36.8
"Mountrail County, North Dakota: Summary level: 050, state:38> county:061",4719,217,4936,4.4,7160,2407,1744,1474.0,5558,4763,1167,72147,33.2
"Williams County, North Dakota: Summary level: 050, state:38> county:105",18813,416,19229,2.2,27111,5967,4817,3593.0,19250,15958,3205,87161,31.3
"Billings County, North Dakota: Summary level: 050, state:38> county:007",447,17,464,3.7,777,275,27,127.0,516,406,197,75208,43.7
"Kidder County, North Dakota: Summary level: 050, state:38> county:043",1155,6,1161,0.5,1813,816,306,295.0,1320,1146,525,54643,47.8
"Cavalier County, North Dakota: Summary level: 050, state:38> county:019",1894,28,1922,1.5,3146,1186,185,361.0,1948,1855,1030,64798,49.5
"Grant County, North Dakota: Summary level: 050, state:38> county:037",1078,29,1107,2.6,1797,847,120,344.0,1204,1149,684,50938,50.1
"McHenry County, North Dakota: Summary level: 050, state:38> county:049",2871,71,2942,2.4,4626,1895,263,799.0,3004,2874,1186,64179,43.2
"Steele County, North Dakota: Summary level: 050, state:38> county:091",927,40,967,4.1,1456,564,87,178.0,918,826,406,70724,50.3
"Benson County, North Dakota: Summary level: 050, state:38> county:005",2440,153,2593,5.9,3382,3574,756,1093.0,3522,3351,914,47667,30.5
"LaMoure County, North Dakota: Summary level: 050, state:38> county:045",2051,12,2063,0.6,3378,1359,157,500.0,2132,1993,1057,60806,47.9
"Morton County, North Dakota: Summary level: 050, state:38> county:059",18045,391,18436,2.1,24934,7500,1599,2615.0,15564,15304,4935,70556,37.8
"Dunn County, North Dakota: Summary level: 050, state:38> county:025",2048,53,2101,2.5,2972,1176,814,523.0,2301,2094,732,76719,39.0
"McIntosh County, North Dakota: Summary level: 050, state:38> county:051",1401,4,1405,0.3,1981,1029,148,320.0,1311,1286,811,52587,53.5
"Nelson County, North Dakota: Summary level: 050, state:38> county:063",1451,6,1457,0.4,2213,1038,203,474.0,1465,1429,790,52039,52.4
"Rolette County, North Dakota: Summary level: 050, state:38> county:079",5299,481,5780,8.3,5736,5859,3628,2472.0,7188,7323,1638,43158,31.4
"Walsh County, North Dakota: Summary level: 050, state:38> county:099",5401,140,5541,2.5,8130,3678,555,1552.0,5512,5239,2248,55700,44.2
"Bottineau County, North Dakota: Summary level: 050, state:38> county:009",3215,122,3337,3.7,5114,2264,225,1014.0,3393,3109,1490,60381,45.0
"Barnes County, North Dakota: Summary level: 050, state:38> county:003",5863,114,5977,1.9,8297,3403,643,1527.0,5325,5381,2342,58365,45.1
"Grand Forks County, North Dakota: Summary level: 050, state:38> county:035",38382,1531,39913,3.8,55450,16458,4317,6457.0,36394,33830,8630,54051,29.7
"McKenzie County, North Dakota: Summary level: 050, state:38> county:053",6725,255,6980,3.7,9885,2310,2019,1269.0,7266,6068,1157,77845,30.1
"McLean County, North Dakota: Summary level: 050, state:38> county:055",4552,54,4606,1.2,7610,2961,502,999.0,4964,4620,2194,68529,46.0
"Pierce County, North Dakota: Summary level: 050, state:38> county:069",1999,18,2017,0.9,3281,1363,123,393.0,2043,2083,982,55660,45.8
"Renville County, North Dakota: Summary level: 050, state:38> county:075",1191,27,1218,2.2,1973,656,83,342.0,1238,1204,425,73182,39.0
"Bowman County, North Dakota: Summary level: 050, state:38> county:011",1623,54,1677,3.2,2609,833,159,335.0,1561,1587,647,62442,41.0
"Burleigh County, North Dakota: Summary level: 050, state:38> county:015",51291,1120,52411,2.1,76737,22758,5050,9500.0,47528,47265,14807,71524,37.0
"Logan County, North Dakota: Summary level: 050, state:38> county:047",948,7,955,0.7,1532,565,42,202.0,974,898,524,59375,52.0
"Oliver County, North Dakota: Summary level: 050, state:38> county:065",802,20,822,2.4,1554,569,130,242.0,944,898,432,78929,47.0
"Stutsman County, North Dakota: Summary level: 050, state:38> county:093",10663,357,11020,3.2,15316,6319,1563,2867.0,10714,10251,3962,57674,40.5
"Ramsey County, North Dakota: Summary level: 050, state:38> county:071",6114,34,6148,0.6,8748,3389,623,1956.0,5908,5675,2222,58910,40.7
"Foster County, North Dakota: Summary level: 050, state:38> county:031",1753,9,1762,0.5,2639,863,142,376.0,1599,1661,734,61425,44.8
"Griggs County, North Dakota: Summary level: 050, state:38> county:039",1176,22,1198,1.8,1940,849,53,362.0,1219,1190,715,53565,51.1
"Sheridan County, North Dakota: Summary level: 050, state:38> county:083",567,13,580,2.2,968,685,83,181.0,718,691,418,51055,50.9
"Slope County, North Dakota: Summary level: 050, state:38> county:087",325,7,332,2.1,628,233,5,130.0,362,380,197,63611,47.7
"Union County, Ohio: Summary level: 050, state:39> county:159",28871,546,29417,1.9,45011,12102,2309,5439.0,27323,29384,6799,86715,38.0
"Pike County, Ohio: Summary level: 050, state:39> county:131",10496,720,11216,6.4,15144,14465,1976,6600.0,13818,14182,4915,42832,40.8
"Paulding County, Ohio: Summary level: 050, state:39> county:125",8646,369,9015,4.1,13593,7108,1076,3229.0,9413,9396,3414,55330,42.1
"Hamilton County, Ohio: Summary level: 050, state:39> county:061",406743,23427,430170,5.4,559311,285589,45625,97227.0,392738,420851,122451,57212,36.8
"Franklin County, Ohio: Summary level: 050, state:39> county:049",678242,34949,713191,4.9,879976,416976,97514,145031.0,629722,660638,151411,61305,34.1
"Marion County, Ohio: Summary level: 050, state:39> county:101",26631,1886,28517,6.6,36645,28330,3310,11700.0,34643,30656,11266,47498,41.3
"Tuscarawas County, Ohio: Summary level: 050, state:39> county:157",44023,1936,45959,4.2,62737,34674,7123,13158.0,45476,46859,17754,53243,41.0
"Wayne County, Ohio: Summary level: 050, state:39> county:169",56091,2006,58097,3.5,77829,37509,14944,14574.0,57717,58382,20111,58300,38.7
"Brown County, Ohio: Summary level: 050, state:39> county:015",19654,1009,20663,4.9,27856,17045,3370,7328.0,21681,21891,7900,54575,42.1
"Butler County, Ohio: Summary level: 050, state:39> county:017",183889,8837,192726,4.6,274388,121548,21060,46369.0,186236,193783,54607,66117,36.7
"Harrison County, Ohio: Summary level: 050, state:39> county:067",6104,342,6446,5.3,8952,6621,1429,2799.0,7489,7722,3186,49689,46.3
"Knox County, Ohio: Summary level: 050, state:39> county:083",28638,1328,29966,4.4,41101,21646,5856,8281.0,29878,31603,10906,57749,39.4
"Licking County, Ohio: Summary level: 050, state:39> county:089",83927,3832,87759,4.4,124198,60825,11044,27276.0,85151,88599,27997,64589,39.7
"Richland County, Ohio: Summary level: 050, state:39> county:139",52254,2926,55180,5.3,76741,49472,7952,18565.0,61468,59632,23231,49547,41.1
"Vinton County, Ohio: Summary level: 050, state:39> county:163",5416,408,5824,7.0,6762,6579,1123,2845.0,6597,6486,2226,45673,42.9
"Carroll County, Ohio: Summary level: 050, state:39> county:019",12502,681,13183,5.2,18947,9725,2276,4051.0,13743,13589,5686,55267,45.5
"Hancock County, Ohio: Summary level: 050, state:39> county:063",38927,1469,40396,3.6,58823,23811,3109,8721.0,37499,38338,12623,58450,39.3
"Clermont County, Ohio: Summary level: 050, state:39> county:025",102881,3993,106874,3.7,151795,65410,10266,27725.0,100551,103724,32161,66968,40.0
"Fairfield County, Ohio: Summary level: 050, state:39> county:045",74141,3056,77197,4.0,110946,51305,8040,20013.0,76903,77554,23759,67609,39.2
"Defiance County, Ohio: Summary level: 050, state:39> county:039",18861,854,19715,4.3,28873,13289,2097,4704.0,19028,19132,6945,59931,40.4
"Highland County, Ohio: Summary level: 050, state:39> county:071",17642,1257,18899,6.7,24000,20841,3617,7826.0,21048,21968,7723,44169,40.8
"Henry County, Ohio: Summary level: 050, state:39> county:069",13346,432,13778,3.1,20427,9725,1058,3548.0,13387,13821,4900,59695,41.1
"Jefferson County, Ohio: Summary level: 050, state:39> county:081",27769,1778,29547,6.0,41872,29497,3698,11544.0,32276,34095,13950,46581,44.8
"Portage County, Ohio: Summary level: 050, state:39> county:133",83100,4860,87960,5.5,119261,53798,8244,21926.0,79755,82756,25831,57618,38.0
"Putnam County, Ohio: Summary level: 050, state:39> county:137",17527,551,18078,3.0,28822,8860,1011,3258.0,16944,16967,5722,64822,39.8
"Belmont County, Ohio: Summary level: 050, state:39> county:013",28957,1631,30588,5.3,45157,25819,3517,10486.0,34882,33142,13830,50904,44.6
"Clinton County, Ohio: Summary level: 050, state:39> county:027",19738,1169,20907,5.6,28039,17061,2348,7077.0,20750,21207,6951,52815,39.4
"Fayette County, Ohio: Summary level: 050, state:39> county:047",12744,779,13523,5.8,17924,12085,2011,5220.0,13972,14648,4959,47308,41.4
"Perry County, Ohio: Summary level: 050, state:39> county:127",15084,1159,16243,7.1,21512,17276,1788,6308.0,18001,18021,5846,50150,40.2
"Pickaway County, Ohio: Summary level: 050, state:39> county:129",24785,1098,25883,4.2,38323,18839,3056,8310.0,30389,27373,8951,63633,39.7
"Madison County, Ohio: Summary level: 050, state:39> county:097",19293,837,20130,4.2,27978,13988,2617,5916.0,23954,20181,6714,68022,40.8
"Muskingum County, Ohio: Summary level: 050, state:39> county:119",38331,2505,40836,6.1,53765,38114,4407,13287.0,41716,44415,15037,47254,40.3
"Sandusky County, Ohio: Summary level: 050, state:39> county:143",28340,1353,29693,4.6,42391,21984,2672,8803.0,29301,29728,10897,54089,42.2
"Van Wert County, Ohio: Summary level: 050, state:39> county:161",13664,557,14221,3.9,21038,10591,1233,4276.0,13936,14325,5230,54254,41.2
"Washington County, Ohio: Summary level: 050, state:39> county:167",27110,1137,28247,4.0,40026,24801,4312,12157.0,29883,30543,12376,50021,44.3
"Auglaize County, Ohio: Summary level: 050, state:39> county:011",23435,722,24157,3.0,37253,13556,1637,4884.0,22693,23036,8186,64074,41.1
"Darke County, Ohio: Summary level: 050, state:39> county:037",24963,862,25825,3.3,37191,19152,2879,6969.0,25458,26055,9861,55620,41.9
"Ottawa County, Ohio: Summary level: 050, state:39> county:123",19366,766,20132,3.8,30122,15936,1663,6235.0,20162,20470,9926,59099,49.3
"Hardin County, Ohio: Summary level: 050, state:39> county:065",14679,783,15462,5.1,21276,10904,3313,4543.0,15568,15857,4898,50506,35.9
"Jackson County, Ohio: Summary level: 050, state:39> county:079",13553,1161,14714,7.9,19379,14340,2642,6197.0,15723,16727,5444,47550,40.1
"Huron County, Ohio: Summary level: 050, state:39> county:077",27505,1237,28742,4.3,40332,21884,4068,7991.0,28847,29492,9746,52560,39.8
"Athens County, Ohio: Summary level: 050, state:39> county:009",28134,2171,30305,7.2,44891,22854,4006,10519.0,32827,33090,8281,40905,29.6
"Adams County, Ohio: Summary level: 050, state:39> county:001",10396,599,10995,5.4,14686,14118,2090,5717.0,13824,13952,4856,39079,42.0
"Medina County, Ohio: Summary level: 050, state:39> county:103",93280,2649,95929,2.8,143090,49912,6984,19452.0,88299,89681,30807,76600,42.2
"Lucas County, Ohio: Summary level: 050, state:39> county:095",200130,15566,215696,7.2,278356,178746,25420,66186.0,208922,222180,68235,48736,37.8
"Noble County, Ohio: Summary level: 050, state:39> county:121",4061,227,4288,5.3,7855,6151,746,2429.0,8631,5785,3845,46897,50.4
"Bayamón Municipio, Puerto Rico: Summary level: 050, state:72> county:021",65080,9433,74513,12.7,83580,94703,12989,,83978,94214,37504,26420,42.1
"Canóvanas Municipio, Puerto Rico: Summary level: 050, state:72> county:029",14554,4465,19019,23.5,17951,24863,4721,,21958,23630,7496,21267,40.2
"Comerío Municipio, Puerto Rico: Summary level: 050, state:72> county:045",4877,1523,6400,23.8,5765,14614,917,,9517,9707,3366,13733,38.9
"Juana Díaz Municipio, Puerto Rico: Summary level: 050, state:72> county:075",14463,3988,18451,21.6,16471,28953,2352,,21942,24210,7878,20657,38.8
"Las Marías Municipio, Puerto Rico: Summary level: 050, state:72> county:083",2170,111,2281,4.9,2481,6031,181,,4179,4191,1659,14135,42.4
"Corozal Municipio, Puerto Rico: Summary level: 050, state:72> county:047",7933,3741,11674,32.0,10327,23666,1763,,16227,17273,5850,15140,39.6
"Maunabo Municipio, Puerto Rico: Summary level: 050, state:72> county:095",2095,769,2864,26.9,2840,7860,638,,5240,5536,2321,20844,44.4
"Ponce Municipio, Puerto Rico: Summary level: 050, state:72> county:113",37760,5331,43091,12.4,44909,92640,7372,,67111,72560,29192,17069,41.0
"Toa Alta Municipio, Puerto Rico: Summary level: 050, state:72> county:135",27537,3577,31114,11.5,39336,32171,4776,,34973,37891,9903,28834,38.4
"Toa Baja Municipio, Puerto Rico: Summary level: 050, state:72> county:137",27634,5227,32861,15.9,34173,42916,5458,,36401,41409,14598,25105,40.7
"Vieques Municipio, Puerto Rico: Summary level: 050, state:72> county:147",2467,200,2667,7.5,2418,5810,1040,,4277,4365,1849,14936,47.0
